era,variant,engine,.metric,.estimate
1790,"xgboost depth=4, eta=0.3",xgboost,mn_log_loss,1.9776207960961079
1790,"xgboost depth=4, eta=0.3",xgboost,roc_auc,0.8440976326634931
1790,"xgboost depth=4, eta=0.3",xgboost,f_meas,0.7727272727272727
1800,"xgboost depth=4, eta=0.3",xgboost,accuracy,0.75
1800,"xgboost depth=4, eta=0.3",xgboost,kap,0.4998554328340947
1800,"xgboost depth=4, eta=0.3",xgboost,mn_log_loss,1.90681055937536
1800,"xgboost depth=4, eta=0.3",xgboost,roc_auc,0.8310377222141928
1800,"xgboost depth=4, eta=0.3",xgboost,f_meas,0.7571801566579633
1790,"xgboost depth=6, eta=0.05",xgboost,accuracy,0.7855227882037533
1790,"xgboost depth=6, eta=0.05",xgboost,kap,0.5710041212740806
1790,"xgboost depth=6, eta=0.05",xgboost,mn_log_loss,1.3004861639230108
1790,"xgboost depth=6, eta=0.05",xgboost,roc_auc,0.862755183540462
1790,"xgboost depth=6, eta=0.05",xgboost,f_meas,0.7876106194690264
1800,"xgboost depth=6, eta=0.05",xgboost,accuracy,0.7876344086021505
1800,"xgboost depth=6, eta=0.05",xgboost,kap,0.5752442620107534
1800,"xgboost depth=6, eta=0.05",xgboost,mn_log_loss,1.2854333275932133
1800,"xgboost depth=6, eta=0.05",xgboost,roc_auc,0.8553981789275907
1800,"xgboost depth=6, eta=0.05",xgboost,f_meas,0.7893333333333333
1790,"xgboost depth=6, eta=0.1",xgboost,accuracy,0.7864164432529044
1790,"xgboost depth=6, eta=0.1",xgboost,kap,0.572784097353233
1790,"xgboost depth=6, eta=0.1",xgboost,mn_log_loss,1.519780290888127
1790,"xgboost depth=6, eta=0.1",xgboost,roc_auc,0.85723139835788
1790,"xgboost depth=6, eta=0.1",xgboost,f_meas,0.7886825817860301
1800,"xgboost depth=6, eta=0.1",xgboost,accuracy,0.7661290322580645
1800,"xgboost depth=6, eta=0.1",xgboost,kap,0.5322715842414082
1800,"xgboost depth=6, eta=0.1",xgboost,mn_log_loss,1.529419576797667
1800,"xgboost depth=6, eta=0.1",xgboost,roc_auc,0.8470805029628559
1800,"xgboost depth=6, eta=0.1",xgboost,f_meas,0.7661290322580645
1790,"xgboost depth=6, eta=0.3",xgboost,accuracy,0.7703306523681859
1790,"xgboost depth=6, eta=0.3",xgboost,kap,0.5404473392788942
1790,"xgboost depth=6, eta=0.3",xgboost,mn_log_loss,2.250744159501366
1790,"xgboost depth=6, eta=0.3",xgboost,roc_auc,0.8413916488291109
1790,"xgboost depth=6, eta=0.3",xgboost,f_meas,0.7767158992180713
1800,"xgboost depth=6, eta=0.3",xgboost,accuracy,0.7728494623655914
1800,"xgboost depth=6, eta=0.3",xgboost,kap,0.5456135532459272
1800,"xgboost depth=6, eta=0.3",xgboost,mn_log_loss,2.2124315322751613
1800,"xgboost depth=6, eta=0.3",xgboost,roc_auc,0.8439514380690851
1800,"xgboost depth=6, eta=0.3",xgboost,f_meas,0.77733860342556
1790,"xgboost depth=8, eta=0.05",xgboost,accuracy,0.7819481680071493
1790,"xgboost depth=8, eta=0.05",xgboost,kap,0.5637468723336945
1790,"xgboost depth=8, eta=0.05",xgboost,mn_log_loss,1.3796032149506825
1790,"xgboost depth=8, eta=0.05",xgboost,roc_auc,0.8606370403501485
1790,"xgboost depth=8, eta=0.05",xgboost,f_meas,0.7867132867132868
1800,"xgboost depth=8, eta=0.05",xgboost,accuracy,0.7809139784946236
1800,"xgboost depth=8, eta=0.05",xgboost,kap,0.5617582862346597
1800,"xgboost depth=8, eta=0.05",xgboost,mn_log_loss,1.3596180576084689
1800,"xgboost depth=8, eta=0.05",xgboost,roc_auc,0.8494291082526376
1800,"xgboost depth=8, eta=0.05",xgboost,f_meas,0.7846763540290621
1790,"xgboost depth=8, eta=0.1",xgboost,accuracy,0.774798927613941
1790,"xgboost depth=8, eta=0.1",xgboost,kap,0.5493326003017363
1790,"xgboost depth=8, eta=0.1",xgboost,mn_log_loss,1.5928000125000115
1790,"xgboost depth=8, eta=0.1",xgboost,roc_auc,0.8618862017187949
1790,"xgboost depth=8, eta=0.1",xgboost,f_meas,0.7823834196891193
1800,"xgboost depth=8, eta=0.1",xgboost,accuracy,0.7889784946236559
1800,"xgboost depth=8, eta=0.1",xgboost,kap,0.5779142877791428
1800,"xgboost depth=8, eta=0.1",xgboost,mn_log_loss,1.6732542766440872
1800,"xgboost depth=8, eta=0.1",xgboost,roc_auc,0.8584260731319555
1800,"xgboost depth=8, eta=0.1",xgboost,f_meas,0.7915006640106241
1790,"xgboost depth=8, eta=0.3",xgboost,accuracy,0.7649687220732797
1790,"xgboost depth=8, eta=0.3",xgboost,kap,0.5296688790407257
1790,"xgboost depth=8, eta=0.3",xgboost,mn_log_loss,2.3821640637201837
1790,"xgboost depth=8, eta=0.3",xgboost,roc_auc,0.8455768186319926
1790,"xgboost depth=8, eta=0.3",xgboost,f_meas,0.7726879861711322
1800,"xgboost depth=8, eta=0.3",xgboost,accuracy,0.7755376344086021
1800,"xgboost depth=8, eta=0.3",xgboost,kap,0.5509649439826527
1800,"xgboost depth=8, eta=0.3",xgboost,mn_log_loss,2.489327676729724
1800,"xgboost depth=8, eta=0.3",xgboost,roc_auc,0.8447535771065183
1800,"xgboost depth=8, eta=0.3",xgboost,f_meas,0.7811271297509831
1860,"glmnet default (alpha=1, lambda.min)",glmnet,accuracy,0.7512605042016807
1860,"glmnet default (alpha=1, lambda.min)",glmnet,kap,0.503217016763464
1860,"glmnet default (alpha=1, lambda.min)",glmnet,mn_log_loss,1.1626247409256305
1860,"glmnet default (alpha=1, lambda.min)",glmnet,roc_auc,0.8205960543675715
1860,"glmnet default (alpha=1, lambda.min)",glmnet,f_meas,0.7394366197183099
1870,"glmnet default (alpha=1, lambda.min)",glmnet,accuracy,0.7014388489208633
1870,"glmnet default (alpha=1, lambda.min)",glmnet,kap,0.40399784319233367
1870,"glmnet default (alpha=1, lambda.min)",glmnet,mn_log_loss,1.1400498191372652
1870,"glmnet default (alpha=1, lambda.min)",glmnet,roc_auc,0.7883670293477241
1870,"glmnet default (alpha=1, lambda.min)",glmnet,f_meas,0.6795366795366796
1860,"xgboost default (depth=12, eta=0.1)",xgboost,accuracy,0.7596638655462185
